"","ID","adj.P.Val","P.Value","t","B","logFC","Gene.symbol","Gene.ID","Gene.title"
"204641_at","204641_at",2.74480890076654e-15,4.31739488735113e-18,10.4534960818502,30.6350891962946,3.31328788432268,"NEK2","4751","NIMA related kinase 2"
"215322_at","215322_at",3.30398328178617e-15,5.31779659437006e-18,-10.4137433922009,30.4315529658284,-1.75843671232878,"LONRF1","91694","LON peptidase N-terminal domain and ring finger 1"
"1556427_s_at","1556427_s_at",3.30681960506249e-15,5.45250546395087e-18,-10.4089718746257,30.4071210969563,-3.08940142694065,"LRRN4CL","221091","LRRN4 C-terminal like"
"1554547_at","1554547_at",3.30681960506249e-15,5.52253513930121e-18,-10.4065377400111,30.3946573517765,-2.32422270928463,"FAM13C","220965","family with sequence similarity 13 member C"
"244065_at","244065_at",3.30681960506249e-15,5.56428721839505e-18,-10.4051011452405,30.3873013762957,-1.65232670091325,"CNTNAP3B///CNTNAP3","728577///79937","contactin associated protein-like 3B///contactin associated protein-like 3"
"201300_s_at","201300_s_at",3.53919991880657e-15,6.08476986498067e-18,-10.3880458606882,30.299969184424,-1.26693608066972,"PRNP","5621","prion protein"
"210052_s_at","210052_s_at",4.37943746281513e-15,8.01523972668579e-18,10.3354912644245,30.0308416852126,3.18429655631658,"TPX2","22974","TPX2, microtubule nucleation factor"
"209218_at","209218_at",4.37943746281513e-15,8.05323026347951e-18,10.3345894491986,30.0262233347049,2.09115812785388,"SQLE","6713","squalene epoxidase"
"219689_at","219689_at",4.37943746281513e-15,8.09004451292782e-18,-10.3337196070067,30.0217687168117,-2.4780848782344,"SEMA3G","56920","semaphorin 3G"
"43427_at","43427_at",5.05857164963036e-15,9.43711583470136e-18,-10.3043468475787,29.871341867794,-2.78106025494673,"ACACB","32","acetyl-CoA carboxylase beta"
"223623_at","223623_at",5.43215069296198e-15,1.02334068838607e-17,-10.2888981199542,29.7922216208302,-4.28649846651447,"C2orf40","84417","chromosome 2 open reading frame 40"
"242541_at","242541_at",5.70678412281766e-15,1.08551540699229e-17,-10.2776497978588,29.7346126481398,-2.13450668949772,"ABCA9","10350","ATP binding cassette subfamily A member 9"
"207961_x_at","207961_x_at",5.85479911006308e-15,1.12437842991609e-17,-10.2709416541647,29.7002561142001,-2.20249883561645,"MYH11","4629","myosin heavy chain 11"
"219132_at","219132_at",6.11741164312521e-15,1.1971889269582e-17,-10.2589757568728,29.6389707678701,-1.90365808219179,"PELI2","57161","pellino E3 ubiquitin protein ligase family member 2"
"225627_s_at","225627_s_at",6.65864153129025e-15,1.3274658013912e-17,-10.239277025193,29.5380788881761,-2.32811009512938,"CACHD1","57685","cache domain containing 1"
"243140_at","243140_at",7.24738196708794e-15,1.45809239392716e-17,-10.2213782804646,29.4464047156715,-3.55639860350077,"ACTA2","59","actin, alpha 2, smooth muscle, aorta"
"235521_at","235521_at",7.69844159025169e-15,1.56292092641598e-17,-10.2081383759776,29.3785916304066,-2.40417093226789,"HOXA3","3200","homeobox A3"
"229568_at","229568_at",8.82303853773545e-15,1.82350865068881e-17,-10.178731065615,29.2279698131024,-2.06246441400305,"MOB3B","79817","MOB kinase activator 3B"
"212322_at","212322_at",9.88562493983855e-15,2.06120026180447e-17,10.1553650295491,29.1082902622091,1.18636426179604,"SGPL1","8879","sphingosine-1-phosphate lyase 1"
"218656_s_at","218656_s_at",1.05293472410646e-14,2.2146775175536e-17,-10.1416689636164,29.0381397923657,-1.89433252663623,"LHFP","10186","lipoma HMGIC fusion partner"
"228653_at","228653_at",1.29674995252767e-14,2.77493817001807e-17,-10.0986601508457,28.8178529222802,-3.24440154870625,"SAMD5","389432","sterile alpha motif domain containing 5"
"212472_at","212472_at",1.34434208193492e-14,2.9259571604985e-17,10.0885536716253,28.7660892525991,2.06242162861491,"MICAL2","9645","microtubule associated monooxygenase, calponin and LIM domain containing 2"
"202746_at","202746_at",1.50211034690958e-14,3.32428627299605e-17,-10.0642118762241,28.6414163974116,-2.47895786910199,"ITM2A","9452","integral membrane protein 2A"
"221664_s_at","221664_s_at",1.5214567424976e-14,3.39492862523469e-17,10.0602014637793,28.6208762911039,1.40707129756468,"F11R","50848","F11 receptor"
"206289_at","206289_at",1.73370372105767e-14,3.90023882377857e-17,-10.0337374988564,28.4853382422929,-1.28887644977169,"HOXA4","3201","homeobox A4"
"213317_at","213317_at",1.78232957473759e-14,4.04222893950546e-17,-10.0269173086336,28.4504086224048,-1.96638748097413,"CLIC5","53405","chloride intracellular channel 5"
"209863_s_at","209863_s_at",1.80918260118198e-14,4.16930969819715e-17,-10.0210133646803,28.4201718243107,-3.207976282344,"TP63","8626","tumor protein p63"
"217736_s_at","217736_s_at",1.90180944362053e-14,4.45233852370238e-17,10.0084861095205,28.3560148843421,0.926025570776249,"EIF2AK1","27102","eukaryotic translation initiation factor 2 alpha kinase 1"
"219563_at","219563_at",1.9400076151916e-14,4.57724704818868e-17,-10.0032087257966,28.3289877243252,-1.99437182648402,"SYNE3///LINC00341","161176///79686","spectrin repeat containing nuclear envelope family member 3///long intergenic non-protein coding RNA 341"
"1558569_at","1558569_at",2.00657566176031e-14,4.77100751767426e-17,-9.99530068030539,28.2884885460252,-2.31596297945206,"LOC100131541","100131541","uncharacterized LOC100131541"
"226303_at","226303_at",2.02491347614766e-14,4.86708476659154e-17,-9.99149772442589,28.2690128034917,-2.15066497336378,"PGM5","5239","phosphoglucomutase 5"
"208944_at","208944_at",2.02491347614766e-14,4.88867999728379e-17,-9.99065326899961,28.264688185894,-1.56898173135465,"TGFBR2","7048","transforming growth factor beta receptor 2"
"203323_at","203323_at",2.21917229849389e-14,5.41874807318289e-17,-9.97101724298865,28.1641302261791,-2.07438541095891,"CAV2","858","caveolin 2"
"202487_s_at","202487_s_at",2.23928069918779e-14,5.52908814614269e-17,9.96717203410773,28.1444389875983,1.21337320776256,"H2AFV","94239","H2A histone family member V"
"221841_s_at","221841_s_at",2.30156732282974e-14,5.72497770287782e-17,-9.96053076288485,28.1104295294229,-2.05759127853882,"KLF4","9314","Kruppel like factor 4"
"221795_at","221795_at",2.31915167567023e-14,5.8111345142537e-17,-9.95768139454112,28.0958382683201,-3.94307534627093,"NTRK2","4915","neurotrophic receptor tyrosine kinase 2"
"236359_at","236359_at",2.52343932512264e-14,6.41532814251572e-17,-9.93881229663643,27.9992142398313,-2.41084337899544,"SCN4B","6330","sodium voltage-gated channel beta subunit 4"
"202954_at","202954_at",3.17329298416306e-14,8.28955213490184e-17,9.88991443461495,27.7488408233145,2.67031767503805,"UBE2C","11065","ubiquitin conjugating enzyme E2 C"
"207002_s_at","207002_s_at",3.17329298416306e-14,8.35764407351588e-17,-9.88835362319512,27.7408494855804,-2.00460871004567,"PLAGL1","5325","PLAG1 like zinc finger 1"
"204719_at","204719_at",3.26947565552338e-14,8.6707630553432e-17,-9.88133610523401,27.7049203130173,-3.53690795662101,"ABCA8","10351","ATP binding cassette subfamily A member 8"
"212675_s_at","212675_s_at",3.29735275548134e-14,8.80500232830866e-17,-9.8784048209456,27.6899125727155,-1.17252775114156,"CEP68","23177","centrosomal protein 68"
"203228_at","203228_at",3.47156363990859e-14,9.33369648041267e-17,9.8672788670466,27.6329505423182,1.90340342846271,"PAFAH1B3","5050","platelet activating factor acetylhydrolase 1b catalytic subunit 3"
"209326_at","209326_at",3.52657778141438e-14,9.54610903793925e-17,9.86298520518799,27.6109686148213,1.13939592465753,"SLC35A2","7355","solute carrier family 35 member A2"
"218974_at","218974_at",3.56172161095772e-14,9.70638353969273e-17,-9.85980818645316,27.5947036690383,-2.07057212709285,"SOBP","55084","sine oculis binding protein homolog"
"241789_at","241789_at",3.68427250404016e-14,1.01077434953091e-16,-9.85207677422167,27.5551229104978,-2.02607017884323,"RBMS3","27303","RNA binding motif single stranded interacting protein 3"
"209053_s_at","209053_s_at",3.71612797465123e-14,1.02713452582823e-16,9.84901297041578,27.5394381232911,1.6975706240487,"WHSC1","7468","Wolf-Hirschhorn syndrome candidate 1"
"209894_at","209894_at",3.96049448644159e-14,1.10828652295485e-16,-9.8345023232826,27.4651547311515,-2.68774353500761,"LEPROT///LEPR","54741///3953","leptin receptor overlapping transcript///leptin receptor"
"227646_at","227646_at",4.27775784192942e-14,1.21271598628086e-16,-9.81731818427539,27.3771899400478,-2.48612499238965,"EBF1","1879","early B-cell factor 1"
"207092_at","207092_at",5.22320021377467e-14,1.52850852163502e-16,-9.77314804366559,27.1511110762003,-3.54653079908676,"LEP","3952","leptin"
"228875_at","228875_at",5.62806794117941e-14,1.65728200919961e-16,-9.7577083310197,27.0720945055682,-1.65567985920853,"FAM162B","221303","family with sequence similarity 162 member B"
"218355_at","218355_at",5.7005395986443e-14,1.68904876996868e-16,9.75408399373206,27.0535468130637,2.7337877891933,"KIF4A","24137","kinesin family member 4A"
"228335_at","228335_at",5.8434837734774e-14,1.74209026991644e-16,-9.74818153634274,27.0233413770911,-2.83715197488585,"CLDN11","5010","claudin 11"
"223278_at","223278_at",6.20140720849502e-14,1.86013860483435e-16,9.7356650293233,26.9592916035292,3.64383494672755,"GJB2","2706","gap junction protein beta 2"
"223796_at","223796_at",6.53287649343484e-14,1.99540992117717e-16,-9.72226322694023,26.8907156368375,-1.75379498858448,"CNTNAP3B///CNTNAP3P2///CNTNAP3","728577///643827///79937","contactin associated protein-like 3B///contactin associated protein-like 3 pseudogene 2///contactin associated protein-like 3"
"227006_at","227006_at",6.57057787511452e-14,2.01894299591996e-16,-9.72002476507777,26.8792620228639,-2.58708998858448,"PPP1R14A","94274","protein phosphatase 1 regulatory inhibitor subunit 14A"
"218585_s_at","218585_s_at",7.34659221755952e-14,2.27082594379069e-16,9.69757702339563,26.7644097368627,2.57116256468798,"DTL","51514","denticleless E3 ubiquitin protein ligase homolog"
"230624_at","230624_at",7.92733046989576e-14,2.47932969428839e-16,-9.68080303967842,26.6785952180156,-2.05213210806698,"SLC25A27","9481","solute carrier family 25 member 27"
"202503_s_at","202503_s_at",7.96918830638135e-14,2.50699659569747e-16,9.67868391413219,26.6677544475532,2.52565747336377,"KIAA0101","9768","KIAA0101"
"205034_at","205034_at",8.14306645943071e-14,2.57658984450208e-16,9.67345507981878,26.6410059131955,2.68134595509893,"CCNE2","9134","cyclin E2"
"218087_s_at","218087_s_at",8.47780652360717e-14,2.69801250134001e-16,-9.6646611319125,26.596021416099,-2.45576310882801,"SORBS1","10580","sorbin and SH3 domain containing 1"
"206481_s_at","206481_s_at",8.91290644251914e-14,2.86094703376183e-16,-9.65346250395084,26.5387391252719,-2.17085633181127,"LDB2","9079","LIM domain binding 2"
"223541_at","223541_at",8.91290644251914e-14,2.8878122363478e-16,-9.65167743290884,26.5296086030522,-2.4580817541857,"HAS3","3038","hyaluronan synthase 3"
"209773_s_at","209773_s_at",8.91290644251914e-14,2.90246487606789e-16,9.65071080990738,26.5246644269426,3.73619348173515,"RRM2","6241","ribonucleotide reductase regulatory subunit M2"
"201198_s_at","201198_s_at",8.91290644251914e-14,2.91798857468848e-16,9.64969202736112,26.5194534888873,0.902903219178073,"PSMD1","5707","proteasome 26S subunit, non-ATPase 1"
"225162_at","225162_at",9.97691902200655e-14,3.28458239407623e-16,-9.62708772783346,26.4038431922837,-1.32051213089803,"SH3D19","152503","SH3 domain containing 19"
"235978_at","235978_at",1.02503828085472e-13,3.3933594665698e-16,-9.62086414401155,26.3720151488419,-3.08628045281583,"FABP4","2167","fatty acid binding protein 4"
"32625_at","32625_at",1.03487897317452e-13,3.48844793155671e-16,-9.61558485893816,26.3450172609802,-1.50475324961949,"NPR1","4881","natriuretic peptide receptor 1"
"227239_at","227239_at",1.03487897317452e-13,3.50164810310539e-16,-9.61486337468808,26.3413277076979,-1.77536518645359,"FAM126A","84668","family with sequence similarity 126 member A"
"218009_s_at","218009_s_at",1.08327135350061e-13,3.68520295841084e-16,9.60510302732867,26.291416447167,2.61393095890411,"PRC1","9055","protein regulator of cytokinesis 1"
"223229_at","223229_at",1.10738587953664e-13,3.82800057123777e-16,9.59784005927952,26.2542778972642,2.91594158295281,"UBE2T","29089","ubiquitin conjugating enzyme E2 T"
"227705_at","227705_at",1.12244124348494e-13,3.90057313693898e-16,-9.59425194375297,26.2359309961221,-2.68600068112634,"TCEAL7","56849","transcription elongation factor A like 7"
"48031_r_at","48031_r_at",1.14255701218199e-13,3.99137429038429e-16,-9.58985533687513,26.2134506413944,-1.09453639269407,"FAXDC2","10826","fatty acid hydroxylase domain containing 2"
"209283_at","209283_at",1.17233673631491e-13,4.11684779830749e-16,-9.58394154043504,26.1832137001923,-2.90615477549469,"CRYAB","1410","crystallin alpha B"
"224027_at","224027_at",1.17259054827839e-13,4.13918565738872e-16,-9.58290762275501,26.1779274475382,-3.87348258371385,"CCL28","56477","C-C motif chemokine ligand 28"
"209842_at","209842_at",1.33309679387188e-13,4.73014683147956e-16,-9.55740624049806,26.0475541841066,-3.39668052891934,"SOX10","6663","SRY-box 10"
"212653_s_at","212653_s_at",1.38596291741334e-13,4.99377585240836e-16,-9.5470414388883,25.9945714380881,-1.10500156012177,"EHBP1","23301","EH domain binding protein 1"
"230425_at","230425_at",1.48547304252108e-13,5.42339432519275e-16,-9.53126820581999,25.9139490611397,-2.49877150304414,"EPHB1","2047","EPH receptor B1"
"209335_at","209335_at",1.48547304252108e-13,5.45572050409169e-16,-9.53013233651587,25.9081435846294,-1.79668524353121,"DCN","1634","decorin"
"206765_at","206765_at",1.48547304252108e-13,5.45711820692053e-16,-9.53008337609278,25.9078933468509,-1.83200950532725,"KCNJ2","3759","potassium voltage-gated channel subfamily J member 2"
"231773_at","231773_at",1.48547304252108e-13,5.46099829074964e-16,-9.52994752543905,25.9071990116774,-2.6805940410959,"ANGPTL1","9068","angiopoietin like 1"
"218901_at","218901_at",1.55025611483648e-13,5.7275123035568e-16,-9.52083975208081,25.8606505259448,-1.70540845509894,"PLSCR4","57088","phospholipid scramblase 4"
"202705_at","202705_at",1.57300057440218e-13,5.84031306088054e-16,9.51711175252392,25.8415981351183,2.58955066210045,"CCNB2","9133","cyclin B2"
"226810_at","226810_at",1.59707477286501e-13,5.97537218994341e-16,-9.51274158420385,25.8192645093422,-1.59015952435314,"OGFRL1","79627","opioid growth factor receptor like 1"
"207168_s_at","207168_s_at",1.59707477286501e-13,6.02608081458652e-16,9.51112620668484,25.8110093440997,0.737876522069998,"H2AFY","9555","H2A histone family member Y"
"207828_s_at","207828_s_at",1.59707477286501e-13,6.04653823471528e-16,9.51047835329882,25.8076986052372,2.60158365296804,"CENPF","1063","centromere protein F"
"212230_at","212230_at",1.6283477451557e-13,6.22450258321979e-16,-9.50493313519813,25.7793613951706,-1.35681457762558,"PLPP3","8613","phospholipid phosphatase 3"
"220327_at","220327_at",1.68372176164564e-13,6.4669697292288e-16,-9.49762762717453,25.7420304897354,-1.52182063926941,"VGLL3","389136","vestigial like family member 3"
"209686_at","209686_at",1.73691064754255e-13,6.70302965946918e-16,-9.49077334304062,25.7070071522474,-2.80943373287671,"S100B","6285","S100 calcium binding protein B"
"224823_at","224823_at",1.79056533436501e-13,6.94284135135586e-16,-9.48405264210888,25.6726681236512,-1.94047777016744,"MYLK","4638","myosin light chain kinase"
"204482_at","204482_at",1.84249954133261e-13,7.17791316513663e-16,-9.47768608452545,25.6401401750024,-1.93247022070016,"CLDN5","7122","claudin 5"
"204134_at","204134_at",1.94558131953975e-13,7.6150782328579e-16,-9.46638118514799,25.5823852021067,-1.86892332952817,"PDE2A","5138","phosphodiesterase 2A"
"1553243_at","1553243_at",2.01417860994702e-13,7.92040971446932e-16,-9.45886349273191,25.5439812797666,-1.90263889649924,"ITIH5","80760","inter-alpha-trypsin inhibitor heavy chain family member 5"
"206201_s_at","206201_s_at",2.15226672425741e-13,8.58151158460201e-16,-9.44353191713104,25.4656674075894,-2.55555964611873,"MEOX2","4223","mesenchyme homeobox 2"
"207808_s_at","207808_s_at",2.1803117203735e-13,8.77308785518371e-16,-9.43930913636124,25.4440990790575,-2.08312938736682,"PROS1","5627","protein S (alpha)"
"235017_s_at","235017_s_at",2.19935116666168e-13,8.88992424018714e-16,-9.43677876013549,25.4311752503378,-2.32411823820396,"CSRNP3","80034","cysteine and serine rich nuclear protein 3"
"206170_at","206170_at",2.30672230083229e-13,9.40830494898217e-16,-9.42593837614823,25.3758113002826,-2.10663065829528,"ADRB2","154","adrenoceptor beta 2"
"203851_at","203851_at",2.38624949534053e-13,9.77631251863335e-16,-9.41859868993049,25.3383289045753,-2.46447398782345,"IGFBP6","3489","insulin like growth factor binding protein 6"
"216321_s_at","216321_s_at",2.42767566167085e-13,1.00348367542316e-15,-9.4136057222272,25.3128320701939,-1.20876828767124,"NR3C1","2908","nuclear receptor subfamily 3 group C member 1"
"209392_at","209392_at",2.61289677869784e-13,1.08960304626083e-15,-9.39785361287836,25.2324002094819,-1.97463597793,"ENPP2","5168","ectonucleotide pyrophosphatase/phosphodiesterase 2"
"218493_at","218493_at",2.65385927071891e-13,1.11639256015611e-15,9.39320633620879,25.208672818721,1.33979234018265,"SNRNP25","79622","small nuclear ribonucleoprotein U11/U12 subunit 25"
"238049_at","238049_at",3.03609588935263e-13,1.28274010140001e-15,-9.36662758164257,25.0729894351006,-2.08229608447489,"GRAMD3","65983","GRAM domain containing 3"
"205612_at","205612_at",3.06433152146385e-13,1.30027418926312e-15,-9.36402925797744,25.059726829138,-2.42706846651447,"MMRN1","22915","multimerin 1"
